server,url,method,response_time_ms,content_length
flask,http://127.0.0.1:8000/,GET,86211.10701560974,486
flask,http://127.0.0.1:8000/,GET,86208.87589454651,486
flask,http://127.0.0.1:8000/,GET,86209.11502838135,486
flask,http://127.0.0.1:8000/,GET,86208.94169807434,486
flask,http://127.0.0.1:8000/,GET,86208.73618125916,486
flask,http://127.0.0.1:8000/,GET,86289.81924057007,486
flask,http://127.0.0.1:8000/,GET,86207.34691619873,486
flask,http://127.0.0.1:8000/,GET,92120.38207054138,486
flask,http://127.0.0.1:8000/,GET,92122.32518196106,486
flask,http://127.0.0.1:8000/,GET,92119.22001838684,486
flask,http://127.0.0.1:8000/,GET,92119.20928955078,486
flask,http://127.0.0.1:8000/,GET,92118.19696426392,486
flask,http://127.0.0.1:8000/,GET,90195.22404670715,486
flask,http://127.0.0.1:8000/,GET,90195.46604156494,486
flask,http://127.0.0.1:8000/,GET,90194.68784332275,486
flask,http://127.0.0.1:8000/,GET,90195.07312774658,486
flask,http://127.0.0.1:8000/,GET,90193.36986541748,486
flask,http://127.0.0.1:8000/,GET,88274.70302581787,486
flask,http://127.0.0.1:8000/,GET,88275.14791488647,486
flask,http://127.0.0.1:8000/,GET,88274.93500709534,486
flask,http://127.0.0.1:8000/,GET,88273.76794815063,486
flask,http://127.0.0.1:8000/,GET,88274.44624900818,486
flask,http://127.0.0.1:8000/,GET,87311.95783615112,486
flask,http://127.0.0.1:8000/,GET,87312.23392486572,486
flask,http://127.0.0.1:8000/,GET,87312.19625473022,486
flask,http://127.0.0.1:8000/,GET,87311.52105331421,486
flask,http://127.0.0.1:8000/,GET,87311.33270263672,486
flask,http://127.0.0.1:8000/,GET,86829.3628692627,486
flask,http://127.0.0.1:8000/,GET,86829.27083969116,486
flask,http://127.0.0.1:8000/,GET,86829.01978492737,486
flask,http://127.0.0.1:8000/,GET,86828.92489433289,486
flask,http://127.0.0.1:8000/,GET,86828.18508148193,486
flask,http://127.0.0.1:8000/,GET,86588.063955307,486
flask,http://127.0.0.1:8000/,GET,86588.72485160828,486
flask,http://127.0.0.1:8000/,GET,86587.23616600037,486
flask,http://127.0.0.1:8000/,GET,86587.73899078369,486
flask,http://127.0.0.1:8000/,GET,86587.51606941223,486
flask,http://127.0.0.1:8000/,GET,86466.99786186218,486
flask,http://127.0.0.1:8000/,GET,86467.05174446106,486
flask,http://127.0.0.1:8000/,GET,86466.87912940979,486
flask,http://127.0.0.1:8000/,GET,86466.45927429199,486
flask,http://127.0.0.1:8000/,GET,86466.59684181213,486
flask,http://127.0.0.1:8000/,GET,86404.61897850037,486
flask,http://127.0.0.1:8000/,GET,86404.53815460205,486
flask,http://127.0.0.1:8000/,GET,86404.26588058472,486
flask,http://127.0.0.1:8000/,GET,86404.34622764587,486
flask,http://127.0.0.1:8000/,GET,86404.08301353455,486
flask,http://127.0.0.1:8000/,GET,86372.99704551697,486
flask,http://127.0.0.1:8000/,GET,86372.81107902527,486
flask,http://127.0.0.1:8000/,GET,86373.09002876282,486
flask,http://127.0.0.1:8000/,GET,86373.01588058472,486
